id,films,description,poster,trailer,year_of_release,runtime,age_ratingID,genreID,director,actors
1,Avengers Endgame,"The remaining Avengers assemble for a final, time-traveling stand against Thanos to restore the universe.",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/TcMBFSGVi1c?si=U7aSbPB-U7g6twT9,2019,3h 01m,4,5,Anthony Russo & Joe Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo"
2,Crazy Rich Asians,An American professor travels to Singapore with her boyfriend and discovers his family is impossibly wealthy—and very picky.,https://m.media-amazon.com/images/M/MV5BMTYxNDMyOTAxN15BMl5BanBnXkFtZTgwMDg1ODYzNTM@._V1_.jpg,https://www.youtube.com/embed/ZQ-YX-5bAs0?si=K1v2wpBHjkFmLw1u,2018,2h 00m,4,6,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh"
3,To all of the Boys I've Loved before,"A high school girl's secret love letters get accidentally mailed out, throwing her romantic life into chaos.",https://m.media-amazon.com/images/M/MV5BMjQ3NjM5MTAzN15BMl5BanBnXkFtZTgwODQzMDAwNjM@._V1_.jpg,https://www.youtube.com/embed/555oiY9RWM4?si=NRlpsUqiTrVQhlU5,2018,1h 39m,4,3,Susan Johnson,"Lana Condor, Noah Centineo, Janel Parrish"
4,The Adam Project,A time-traveling pilot teams up with his 12-year-old self and late father to save the future.,https://m.media-amazon.com/images/M/MV5BNWU1NDJlYWUtYWE1OC00MGVlLTliNzYtMjg4OTk0MWE4MDQ4XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/IE8HIsIrq4o?si=KCa2LuAkrfADN4Ok,2022,1h 46m,4,8,Shawn Levy,"Ryan Reynolds, Walker Scobell, Mark Ruffalo"
5,Mean Girls,"A home-schooled teen enters public high school and gets caught up in the ruthless social hierarchy of the ""Plastics.""",https://m.media-amazon.com/images/M/MV5BYzlhMTkxZWMtYzQwNi00OWI4LWI2ZGQtOWQ0OGM4NDlkYTdiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/oDU84nmSDZY?si=zTkJtbvtc4kV4RIG,2004,1h 37m,4,3,Mark Waters,"Lindsay Lohan, Rachel McAdams, Tina Fey"
6,Miss Americana Taylor Swift,A candid documentary following pop superstar Taylor Swift as she embraces her voice as a songwriter and woman.,https://m.media-amazon.com/images/M/MV5BODQ3OTM0ZWItYzA1My00MmE0LWEwMjYtMjI5OWQ4ZGFmNTJjXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/q07_k5VKuaQ?si=c20wD9aazcOcW9XA,2020,1h 25m,3,9,Lana Wilson,Taylor Swift
7,Everything Everywhere all at once,A middle-aged laundry owner is pulled into a wild multiverse adventure to save reality and connect with her family.,https://m.media-amazon.com/images/M/MV5BOWNmMzAzZmQtNDQ1NC00Nzk5LTkyMmUtNGI2N2NkOWM4MzEyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/wxN1T1uxQ2g?si=wHaX-w7VFxZOZhkh,2022,2h 19m,6,8,Daniel Kwan & Daniel Scheinert,"Michelle Yeoh, Stephanie Hsu, Ke Huy Quan"
8,The Knight Before Christmas,"A medieval knight is magically transported to modern-day Ohio, where he falls for a high school science teacher.",https://m.media-amazon.com/images/M/MV5BNzY0YThhNDktMDA4Mi00NzdjLWI3MmQtYzBlYTJmYzU5NDdmXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/-JtwROpSVWc?si=hPX9vTb4eBHa1i0y,2019,1h 32m,2,4,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui"
9,The Princess Switch,A down-to-earth Chicago baker and a future princess discover they look identical and decide to trade places.,https://m.media-amazon.com/images/M/MV5BMTYyMjYxMjEzOF5BMl5BanBnXkFtZTgwMjAwNDE3NjM@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/WwMcynLe1Xs?si=pF4rZDQYJ7yqOVED,2018,1h 41m,1,4,Mike Rohl,"Vanessa Hudgens, Sam Palladio, Nick Sagar"
10,Candy Jar,Two fiercely competitive high school debate champions are forced to team up to reach their dream college.,https://m.media-amazon.com/images/M/MV5BMTU1MTQyNjg4MF5BMl5BanBnXkFtZTgwNzIyMDczNTM@._V1_.jpg,https://www.youtube.com/embed/1lXLGwe_DUU?si=uctxMuuvjGA-tQCk,2021,1h 32m,5,3,Ben Shelton,"Sami Gayle, Jacob Latimore, Uzo Aduba"
