id,tv_shows,description,poster,trailer,year_of_release,number_of_seasons,age_ratingID,genreID,director,actors
1,Percy Jackson and the Olympians,A modern demigod discovers his divine powers and sets off on a dangerous quest across America to prevent a war among the Greek gods.,https://lumiere-a.akamaihd.net/v1/images/pjo_s2_tentacle_teaser_2909x3636_act651784_2433cf3e.jpeg?region=0%2C0%2C1500%2C1875,https://www.youtube.com/embed/JTZHpPZFauY?si=NCK-wvgH2ssb-frD,2023,2+,2,1,"James Bobin, Anders Engström, & Jet Wilkinson (Created by Rick Riordan & Jonathan E. Steinberg)","Walker Scobell, Leah Sava Jeffries, Aryan Simhadri"
2,Never Have I Ever,"A first-generation Indian-American teenage girl navigates high school drama, romance, and grief after a difficult year.",https://m.media-amazon.com/images/M/MV5BNzdhOGVjMTQtOTQ0Yi00ZWNjLTk2MjMtMWMzODczNWNiNmM3XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/HyOCCCbxwMQ?si=9-AdteywTWXQcK4y,2020,4,4,4,Mindy Kaling & Lang Fisher (Creators),"Maitreyi Ramakrishnan, Darren Barnet, Jaren Lewison"
3,Heartstopper,Two British teens at an all-boys grammar school discover their unlikely friendship might be something more in a sweet coming-of-age romance.,https://m.media-amazon.com/images/M/MV5BZjUxNjc3YjYtNzg2Yy00OWEwLTljOGItNmE4MzgwMzQzNGRmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/FrK4xPy4ahg?si=Gq6IMIh2qVvJhZq0,2022,3,4,4,Euros Lyn (Created by Alice Oseman),"Joe Locke, Kit Connor, William Gao"
4,Boy meets world,A classic sitcom following Cory Matthews and his friends as they grow from middle school kids into young adults.,https://m.media-amazon.com/images/M/MV5BMTkyMjAyNzAxNl5BMl5BanBnXkFtZTcwNjk1MDk5NA@@._V1_.jpg,https://www.youtube.com/embed/uaHKEc0mFXs?si=_36rWung9cJwOinq,1993,7,2,3,Michael Jacobs & April Kelly (Creators),"Ben Savage, Rider Strong, Danielle Fishel"
5,Full house,A widowed father gets help raising his three young daughters from his eccentric best friend and his rock-musician brother-in-law.,https://m.media-amazon.com/images/M/MV5BZGQ3OTY3OGQtYzZlZS00YWZjLTgwYzMtZjg4YmY0Y2U1ZDg4XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/2EL65KLdEHE?si=CmLgf_oCxrWiyJ7e,1987,8,1,11,Jeff Franklin (Creator),"Bob Saget, John Stamos, Dave Coulier"
6,The Rookie,"A middle-aged man pursues his dream of becoming an LAPD officer, making him the department's oldest rookie.",https://m.media-amazon.com/images/M/MV5BMzc2MDdkZDUtZjZlYy00MGMyLWJkNzUtMTMxY2FkZjZjYmEyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/8BPlx6eK1vc?si=ABQT6Pl-KtHlsA3-,2018,8+,4,5,Alexi Hawley (Creator),"John Nolan (Nathan Fillion), Alyssa Diaz, Richard T. Jones"
7,Friends,"Six 20-something friends navigate the ups, downs, and comedy of love and careers in Manhattan.",https://media.posterstore.com/site_images/68631fa87d2ae084e182813c_67219132_WB0192-8.jpg,https://www.youtube.com/embed/Zg2LCD5QOJs?si=9KTdjameMr0Cltxt,1994,10,2,11,David Crane & Marta Kauffman (Creators),"Jennifer Aniston, Courteney Cox, Lisa Kudrow"
8,Gilmore Girls,"A quick-witted single mother and her teenage daughter share a unique bond while living in a charming, eccentric Connecticut town.",https://image.tmdb.org/t/p/original/8hWwBpB1mLUKqzjdGrcvJcIklp4.jpg,https://www.youtube.com/embed/YwY86TlfDI0?si=oGkKmi4SWCr-56be,2000,7,4,3,Amy Sherman-Palladino (Creator),"Lauren Graham, Alexis Bledel, Melissa McCarthy"
9,Brooklyn Nine-Nine,An ensemble workplace comedy following a talented but goofy detective and his quirky colleagues in a New York police precinct.,https://m.media-amazon.com/images/M/MV5BNzBiODQxZTUtNjc0MC00Yzc1LThmYTMtN2YwYTU3NjgxMmI4XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/icTOP9F17pU?si=sNkbrmDWZiUytN6O,2013,8,2,11,Dan Goor & Michael Schur (Creators),"Andy Samberg, Stephanie Beatriz, Terry Crews"
10,Young Sheldon,A spin-off prequel following nine-year-old child prodigy Sheldon Cooper as he navigates high school and family life in East Texas.,https://m.media-amazon.com/images/M/MV5BODU3M2FmMDctNGViYi00OGUxLThkZDAtZmRkZDBhNWJhNDIzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/jffVm6tNBDg?si=eKvXQIZ6k0TvPXgt,2017,7,1,11,Chuck Lorre & Steven Molaro (Creators),"Iain Armitage, Zoe Perry, Lance Barber"
